#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                   0 | 0.000048693s | 0 B
                   1 | 0.000001732s | 8 B
                   2 | 0.000002165s | 8 B
                   3 | 0.000001916s | 8 B
                   4 | 0.000002104s | 8 B
                   5 | 0.000002088s | 8 B
                   6 | 0.000001742s | 8 B
                   7 | 0.000001712s | 8 B
                   8 | 0.000002455s | 8 B
                   9 | 0.000001620s | 8 B
                  10 | 0.000001640s | 8 B
                  11 | 0.000002610s | 8 B
                  12 | 0.000001738s | 8 B
                  13 | 0.000001714s | 8 B
                  14 | 0.000001683s | 8 B
                  15 | 0.000001676s | 8 B
                  16 | 0.000002347s | 8 B
                  17 | 0.000002284s | 8 B
                  18 | 0.000002389s | 8 B
                  19 | 0.000002188s | 8 B
                  20 | 0.000001755s | 8 B
                  21 | 0.000001679s | 8 B
                  22 | 0.000001986s | 8 B
                  23 | 0.000002164s | 8 B
                  24 | 0.000001762s | 8 B
                  25 | 0.000001725s | 8 B
                  26 | 0.000002179s | 8 B
                  27 | 0.000002172s | 8 B
                  28 | 0.000001724s | 8 B
                  29 | 0.000001788s | 8 B
                  30 | 0.000001893s | 8 B
                  31 | 0.000002203s | 8 B
                  32 | 0.000002418s | 8 B
                  33 | 0.000001476s | 8 B
                  34 | 0.000001987s | 8 B
                  35 | 0.000001782s | 8 B
                  36 | 0.000002109s | 8 B
                  37 | 0.000001852s | 8 B
                  38 | 0.000001835s | 8 B
                  39 | 0.000002072s | 8 B
                  40 | 0.000002232s | 8 B
                  41 | 0.000002120s | 8 B
                  42 | 0.000001681s | 8 B
                  43 | 0.000002277s | 8 B
                  44 | 0.000002016s | 8 B
                  45 | 0.000001996s | 8 B
                  46 | 0.000002000s | 8 B
                  47 | 0.000001625s | 8 B
                  48 | 0.000002182s | 8 B
                  49 | 0.000001955s | 8 B
                  50 | 0.000001566s | 8 B
                  51 | 0.000001563s | 8 B
                  52 | 0.000002341s | 8 B
                  53 | 0.000001909s | 8 B
                  54 | 0.000001892s | 8 B
                  55 | 0.000002527s | 8 B
                  56 | 0.000001915s | 8 B
