#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                   0 | 0.000054151s | 0 B
                   1 | 0.000001819s | 8 B
                   2 | 0.000001896s | 8 B
                   3 | 0.000002554s | 8 B
                   4 | 0.000002193s | 8 B
                   5 | 0.000002725s | 8 B
                   6 | 0.000002244s | 8 B
                   7 | 0.000002076s | 8 B
                   8 | 0.000002045s | 8 B
                   9 | 0.000002054s | 8 B
                  10 | 0.000001905s | 8 B
                  11 | 0.000002112s | 8 B
                  12 | 0.000001908s | 8 B
                  13 | 0.000002013s | 8 B
                  14 | 0.000001916s | 8 B
                  15 | 0.000001993s | 8 B
                  16 | 0.000002474s | 8 B
                  17 | 0.000002357s | 8 B
                  18 | 0.000002088s | 8 B
                  19 | 0.000002334s | 8 B
                  20 | 0.000001678s | 8 B
                  21 | 0.000002017s | 8 B
                  22 | 0.000002925s | 8 B
                  23 | 0.000001743s | 8 B
                  24 | 0.000002218s | 8 B
                  25 | 0.000004052s | 8 B
                  26 | 0.000005856s | 8 B
                  27 | 0.000002057s | 8 B
                  28 | 0.000001544s | 8 B
                  29 | 0.000002244s | 8 B
                  30 | 0.000002525s | 8 B
                  31 | 0.000001709s | 8 B
                  32 | 0.000001554s | 8 B
                  33 | 0.000001722s | 8 B
                  34 | 0.000001967s | 8 B
                  35 | 0.000001760s | 8 B
                  36 | 0.000001943s | 8 B
                  37 | 0.000001997s | 8 B
                  38 | 0.000004105s | 8 B
                  39 | 0.000001838s | 8 B
                  40 | 0.000002240s | 8 B
                  41 | 0.000001740s | 8 B
                  42 | 0.000001805s | 8 B
                  43 | 0.000001579s | 8 B
                  44 | 0.000001874s | 8 B
                  45 | 0.000001725s | 8 B
                  46 | 0.000001764s | 8 B
                  47 | 0.000001724s | 8 B
                  48 | 0.000001760s | 8 B
                  49 | 0.000001800s | 8 B
                  50 | 0.000001894s | 8 B
                  51 | 0.000001503s | 8 B
                  52 | 0.000002050s | 8 B
                  53 | 0.000002091s | 8 B
                  54 | 0.000001774s | 8 B
                  55 | 0.000001718s | 8 B
                  56 | 0.000002111s | 8 B
                  57 | 0.000002794s | 8 B
                  58 | 0.000002301s | 8 B
                  59 | 0.000005758s | 8 B
                  60 | 0.000002087s | 8 B
                  61 | 0.000002254s | 8 B
                  62 | 0.000010347s | 8 B
                  63 | 0.000004188s | 8 B
                  64 | 0.000004028s | 8 B
                  65 | 0.000003105s | 8 B
                  66 | 0.000003268s | 8 B
                  67 | 0.000003357s | 8 B
                  68 | 0.000003924s | 8 B
                  69 | 0.000002556s | 8 B
                  70 | 0.000003222s | 8 B
                  71 | 0.000003377s | 8 B
                  72 | 0.000002156s | 8 B
                  73 | 0.000003092s | 8 B
                  74 | 0.000001962s | 8 B
                  75 | 0.000002060s | 8 B
                  76 | 0.000001812s | 8 B
                  77 | 0.000002239s | 8 B
                  78 | 0.000002011s | 8 B
                  79 | 0.000002603s | 8 B
                  80 | 0.000002201s | 8 B
                  81 | 0.000001793s | 8 B
                  82 | 0.000001957s | 8 B
                  83 | 0.000001726s | 8 B
                  84 | 0.000001718s | 8 B
                  85 | 0.000001790s | 8 B
                  86 | 0.000002829s | 8 B
                  87 | 0.000001793s | 8 B
                  88 | 0.000002458s | 8 B
                  89 | 0.000003043s | 8 B
                  90 | 0.000001674s | 8 B
                  91 | 0.000002100s | 8 B
                  92 | 0.000002031s | 8 B
                  93 | 0.000001908s | 8 B
                  94 | 0.000053308s | 16 B
                  95 | 0.000005009s | 16 B
                  96 | 0.000018096s | 16 B
                  97 | 0.000005015s | 16 B
                  98 | 0.000005247s | 16 B
                  99 | 0.000006169s | 16 B
                 100 | 0.000003983s | 16 B
                 101 | 0.000004337s | 16 B
                 102 | 0.000004088s | 16 B
                 103 | 0.000008008s | 16 B
                 104 | 0.000004001s | 16 B
                 105 | 0.000007302s | 16 B
                 106 | 0.000005161s | 16 B
                 107 | 0.000004843s | 16 B
                 108 | 0.000012043s | 16 B
                 109 | 0.000007995s | 16 B
                 110 | 0.000005326s | 16 B
                 111 | 0.000005751s | 16 B
                 112 | 0.000004131s | 16 B
                 113 | 0.000004025s | 16 B
                 114 | 0.000007758s | 16 B
                 115 | 0.000005817s | 16 B
                 116 | 0.000006845s | 16 B
                 117 | 0.000005082s | 16 B
                 118 | 0.000005874s | 16 B
                 119 | 0.000005200s | 16 B
                 120 | 0.000005430s | 16 B
                 121 | 0.000006489s | 16 B
                 122 | 0.000004625s | 16 B
                 123 | 0.000005265s | 16 B
                 124 | 0.000006183s | 16 B
                 125 | 0.000004755s | 16 B
                 126 | 0.000004492s | 16 B
                 127 | 0.000004296s | 16 B
                 128 | 0.000006290s | 16 B
                 129 | 0.000005218s | 16 B
                 130 | 0.000006111s | 16 B
                 131 | 0.000004293s | 16 B
                 132 | 0.000004004s | 16 B
                 133 | 0.000004022s | 16 B
                 134 | 0.000004162s | 16 B
                 135 | 0.000004135s | 16 B
                 136 | 0.000004837s | 16 B
                 137 | 0.000004953s | 16 B
                 138 | 0.000004661s | 16 B
                 139 | 0.000004847s | 16 B
                 140 | 0.000005416s | 16 B
                 141 | 0.000004664s | 16 B
                 142 | 0.000004345s | 16 B
                 143 | 0.000003928s | 16 B
                 144 | 0.000003834s | 16 B
                 145 | 0.000003854s | 16 B
                 146 | 0.000003966s | 16 B
                 147 | 0.000003852s | 16 B
                 148 | 0.000003733s | 16 B
                 149 | 0.000003867s | 16 B
                 150 | 0.000004268s | 16 B
                 151 | 0.000003823s | 16 B
                 152 | 0.000003973s | 16 B
                 153 | 0.000004130s | 16 B
                 154 | 0.000004104s | 16 B
                 155 | 0.000005106s | 16 B
                 156 | 0.000004764s | 16 B
                 157 | 0.000004986s | 16 B
                 158 | 0.000005018s | 16 B
                 159 | 0.000005035s | 16 B
                 160 | 0.000004748s | 16 B
                 161 | 0.000005190s | 16 B
                 162 | 0.000004938s | 16 B
                 163 | 0.000004797s | 16 B
                 164 | 0.000004885s | 16 B
                 165 | 0.000004839s | 16 B
                 166 | 0.000004798s | 16 B
                 167 | 0.000005163s | 16 B
                 168 | 0.000006212s | 16 B
                 169 | 0.000005255s | 16 B
                 170 | 0.000004894s | 16 B
                 171 | 0.000004909s | 16 B
                 172 | 0.000005085s | 16 B
                 173 | 0.000005180s | 16 B
                 174 | 0.000005163s | 16 B
                 175 | 0.000005227s | 16 B
                 176 | 0.000005314s | 16 B
                 177 | 0.000004992s | 16 B
                 178 | 0.000005004s | 16 B
                 179 | 0.000004864s | 16 B
                 180 | 0.000005019s | 16 B
                 181 | 0.000003997s | 16 B
                 182 | 0.000004094s | 16 B
                 183 | 0.000003986s | 16 B
                 184 | 0.000004263s | 16 B
                 185 | 0.000004178s | 16 B
                 186 | 0.000030729s | 16 B
                 187 | 0.000004917s | 24 B
                 188 | 0.000006695s | 24 B
                 189 | 0.000004726s | 24 B
                 190 | 0.000004837s | 24 B
                 191 | 0.000006714s | 24 B
                 192 | 0.000006100s | 24 B
                 193 | 0.000006169s | 24 B
                 194 | 0.000005135s | 24 B
                 195 | 0.000004902s | 24 B
                 196 | 0.000004786s | 24 B
                 197 | 0.000004766s | 24 B
                 198 | 0.000005029s | 24 B
                 199 | 0.000005125s | 24 B
                 200 | 0.000004657s | 24 B
                 201 | 0.000004958s | 24 B
                 202 | 0.000004953s | 24 B
                 203 | 0.000004926s | 24 B
                 204 | 0.000003875s | 24 B
                 205 | 0.000005885s | 24 B
                 206 | 0.000004833s | 24 B
                 207 | 0.000006773s | 24 B
                 208 | 0.000004591s | 24 B
                 209 | 0.000005918s | 24 B
                 210 | 0.000004485s | 24 B
