#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                   0 | 0.000065984s | 0 B
                   1 | 0.000002907s | 8 B
                   2 | 0.000002117s | 8 B
                   3 | 0.000001834s | 8 B
                   4 | 0.000001728s | 8 B
                   5 | 0.000001673s | 8 B
                   6 | 0.000001897s | 8 B
                   7 | 0.000002798s | 8 B
                   8 | 0.000002363s | 8 B
                   9 | 0.000002266s | 8 B
                  10 | 0.000002393s | 8 B
                  11 | 0.000002122s | 8 B
                  12 | 0.000009253s | 8 B
                  13 | 0.000002251s | 8 B
                  14 | 0.000001928s | 8 B
                  15 | 0.000002595s | 8 B
                  16 | 0.000002415s | 8 B
                  17 | 0.000001897s | 8 B
                  18 | 0.000001906s | 8 B
                  19 | 0.000002325s | 8 B
                  20 | 0.000002104s | 8 B
                  21 | 0.000002301s | 8 B
                  22 | 0.000002594s | 8 B
                  23 | 0.000002413s | 8 B
                  24 | 0.000002172s | 8 B
                  25 | 0.000002618s | 8 B
                  26 | 0.000002517s | 8 B
                  27 | 0.000002638s | 8 B
                  28 | 0.000002075s | 8 B
                  29 | 0.000002189s | 8 B
                  30 | 0.000002192s | 8 B
                  31 | 0.000002385s | 8 B
                  32 | 0.000003045s | 8 B
                  33 | 0.000002016s | 8 B
                  34 | 0.000002135s | 8 B
                  35 | 0.000002089s | 8 B
                  36 | 0.000002009s | 8 B
                  37 | 0.000002519s | 8 B
                  38 | 0.000002161s | 8 B
                  39 | 0.000002528s | 8 B
                  40 | 0.000002341s | 8 B
                  41 | 0.000002471s | 8 B
                  42 | 0.000001762s | 8 B
                  43 | 0.000002040s | 8 B
                  44 | 0.000002319s | 8 B
                  45 | 0.000001735s | 8 B
                  46 | 0.000002073s | 8 B
                  47 | 0.000002204s | 8 B
                  48 | 0.000002087s | 8 B
                  49 | 0.000002325s | 8 B
                  50 | 0.000002416s | 8 B
                  51 | 0.000002319s | 8 B
                  52 | 0.000003066s | 8 B
                  53 | 0.000009885s | 8 B
                  54 | 0.000001610s | 8 B
                  55 | 0.000002628s | 8 B
                  56 | 0.000007604s | 8 B
                  57 | 0.000002950s | 8 B
                  58 | 0.000004025s | 8 B
                  59 | 0.000003010s | 8 B
                  60 | 0.000001861s | 8 B
                  61 | 0.000005626s | 8 B
                  62 | 0.000003192s | 8 B
                  63 | 0.000004155s | 8 B
                  64 | 0.000003763s | 8 B
                  65 | 0.000003117s | 8 B
                  66 | 0.000002442s | 8 B
                  67 | 0.000002823s | 8 B
                  68 | 0.000010665s | 8 B
                  69 | 0.000004417s | 8 B
                  70 | 0.000002717s | 8 B
                  71 | 0.000002335s | 8 B
                  72 | 0.000002333s | 8 B
                  73 | 0.000003191s | 8 B
                  74 | 0.000002297s | 8 B
                  75 | 0.000002236s | 8 B
                  76 | 0.000002831s | 8 B
                  77 | 0.000002177s | 8 B
                  78 | 0.000002077s | 8 B
                  79 | 0.000002115s | 8 B
                  80 | 0.000001832s | 8 B
                  81 | 0.000002102s | 8 B
                  82 | 0.000001798s | 8 B
                  83 | 0.000002036s | 8 B
                  84 | 0.000002019s | 8 B
                  85 | 0.000001869s | 8 B
                  86 | 0.000001674s | 8 B
                  87 | 0.000001737s | 8 B
                  88 | 0.000001807s | 8 B
                  89 | 0.000002970s | 8 B
                  90 | 0.000004213s | 8 B
                  91 | 0.000001813s | 8 B
                  92 | 0.000002088s | 8 B
                  93 | 0.000001987s | 8 B
                  94 | 0.000032889s | 16 B
                  95 | 0.000040026s | 16 B
                  96 | 0.000012332s | 16 B
                  97 | 0.000050049s | 16 B
                  98 | 0.000012700s | 16 B
                  99 | 0.000021686s | 16 B
                 100 | 0.000012839s | 16 B
                 101 | 0.000005551s | 16 B
                 102 | 0.000002567s | 16 B
                 103 | 0.000003110s | 16 B
                 104 | 0.000002703s | 16 B
                 105 | 0.000002552s | 16 B
                 106 | 0.000002306s | 16 B
                 107 | 0.000003379s | 16 B
                 108 | 0.000002950s | 16 B
                 109 | 0.000003516s | 16 B
                 110 | 0.000002523s | 16 B
                 111 | 0.000002748s | 16 B
                 112 | 0.000003001s | 16 B
                 113 | 0.000003358s | 16 B
                 114 | 0.000002860s | 16 B
                 115 | 0.000002467s | 16 B
                 116 | 0.000002416s | 16 B
                 117 | 0.000003001s | 16 B
                 118 | 0.000002503s | 16 B
                 119 | 0.000002403s | 16 B
                 120 | 0.000002610s | 16 B
                 121 | 0.000002883s | 16 B
                 122 | 0.000002505s | 16 B
                 123 | 0.000003181s | 16 B
                 124 | 0.000002483s | 16 B
                 125 | 0.000002396s | 16 B
                 126 | 0.000002161s | 16 B
                 127 | 0.000002562s | 16 B
                 128 | 0.000002873s | 16 B
                 129 | 0.000002216s | 16 B
                 130 | 0.000002028s | 16 B
                 131 | 0.000002097s | 16 B
                 132 | 0.000003537s | 16 B
                 133 | 0.000003165s | 16 B
                 134 | 0.000004477s | 16 B
                 135 | 0.000002932s | 16 B
                 136 | 0.000003188s | 16 B
                 137 | 0.000003973s | 16 B
                 138 | 0.000004011s | 16 B
                 139 | 0.000003474s | 16 B
                 140 | 0.000002368s | 16 B
                 141 | 0.000003632s | 16 B
                 142 | 0.000003438s | 16 B
                 143 | 0.000002340s | 16 B
                 144 | 0.000002390s | 16 B
                 145 | 0.000001905s | 16 B
                 146 | 0.000002259s | 16 B
                 147 | 0.000002155s | 16 B
                 148 | 0.000001869s | 16 B
                 149 | 0.000002158s | 16 B
                 150 | 0.000002226s | 16 B
                 151 | 0.000002065s | 16 B
                 152 | 0.000001926s | 16 B
                 153 | 0.000002146s | 16 B
                 154 | 0.000002100s | 16 B
                 155 | 0.000002354s | 16 B
                 156 | 0.000002247s | 16 B
                 157 | 0.000002419s | 16 B
                 158 | 0.000002158s | 16 B
                 159 | 0.000002130s | 16 B
                 160 | 0.000002197s | 16 B
                 161 | 0.000002083s | 16 B
                 162 | 0.000001978s | 16 B
                 163 | 0.000002269s | 16 B
                 164 | 0.000002193s | 16 B
                 165 | 0.000002086s | 16 B
                 166 | 0.000001978s | 16 B
                 167 | 0.000002309s | 16 B
                 168 | 0.000002230s | 16 B
                 169 | 0.000002064s | 16 B
                 170 | 0.000002013s | 16 B
                 171 | 0.000002087s | 16 B
                 172 | 0.000002018s | 16 B
                 173 | 0.000002464s | 16 B
                 174 | 0.000002369s | 16 B
                 175 | 0.000002523s | 16 B
                 176 | 0.000002228s | 16 B
                 177 | 0.000002267s | 16 B
                 178 | 0.000002362s | 16 B
                 179 | 0.000002116s | 16 B
                 180 | 0.000002270s | 16 B
                 181 | 0.000002321s | 16 B
                 182 | 0.000002173s | 16 B
                 183 | 0.000002373s | 16 B
                 184 | 0.000003157s | 16 B
                 185 | 0.000002638s | 16 B
                 186 | 0.000002305s | 16 B
                 187 | 0.000002416s | 24 B
                 188 | 0.000023552s | 24 B
                 189 | 0.000002668s | 24 B
                 190 | 0.000002630s | 24 B
                 191 | 0.000003383s | 24 B
                 192 | 0.000003139s | 24 B
                 193 | 0.000009293s | 24 B
                 194 | 0.000002928s | 24 B
                 195 | 0.000002775s | 24 B
                 196 | 0.000002779s | 24 B
                 197 | 0.000002541s | 24 B
                 198 | 0.000002668s | 24 B
                 199 | 0.000002584s | 24 B
                 200 | 0.000002947s | 24 B
                 201 | 0.000002635s | 24 B
                 202 | 0.000002832s | 24 B
                 203 | 0.000002606s | 24 B
                 204 | 0.000002541s | 24 B
                 205 | 0.000002478s | 24 B
                 206 | 0.000002585s | 24 B
                 207 | 0.000004429s | 24 B
                 208 | 0.000002980s | 24 B
                 209 | 0.000003081s | 24 B
                 210 | 0.000002799s | 24 B
                 211 | 0.000002605s | 24 B
                 212 | 0.000003013s | 24 B
                 213 | 0.000002842s | 24 B
                 214 | 0.000002758s | 24 B
                 215 | 0.000002661s | 24 B
                 216 | 0.000002627s | 24 B
                 217 | 0.000002684s | 24 B
                 218 | 0.000003382s | 24 B
                 219 | 0.000004127s | 24 B
                 220 | 0.000003289s | 24 B
                 221 | 0.000003328s | 24 B
                 222 | 0.000003528s | 24 B
                 223 | 0.000002849s | 24 B
                 224 | 0.000002448s | 24 B
                 225 | 0.000002783s | 24 B
                 226 | 0.000002691s | 24 B
                 227 | 0.000002606s | 24 B
                 228 | 0.000002876s | 24 B
                 229 | 0.000003212s | 24 B
                 230 | 0.000003403s | 24 B
                 231 | 0.000002483s | 24 B
                 232 | 0.000002334s | 24 B
                 233 | 0.000002308s | 24 B
                 234 | 0.000002348s | 24 B
                 235 | 0.000002595s | 24 B
                 236 | 0.000002482s | 24 B
                 237 | 0.000002465s | 24 B
                 238 | 0.000002265s | 24 B
                 239 | 0.000002604s | 24 B
                 240 | 0.000002270s | 24 B
                 241 | 0.000002765s | 24 B
                 242 | 0.000002642s | 24 B
                 243 | 0.000002527s | 24 B
                 244 | 0.000002444s | 24 B
                 245 | 0.000002392s | 24 B
                 246 | 0.000002365s | 24 B
                 247 | 0.000002296s | 24 B
                 248 | 0.000002544s | 24 B
                 249 | 0.000002223s | 24 B
                 250 | 0.000002318s | 24 B
                 251 | 0.000002519s | 24 B
                 252 | 0.000002469s | 24 B
                 253 | 0.000003071s | 24 B
                 254 | 0.000003790s | 24 B
                 255 | 0.000002322s | 24 B
                 256 | 0.000002691s | 24 B
                 257 | 0.000002579s | 24 B
                 258 | 0.000002439s | 24 B
                 259 | 0.000002390s | 24 B
                 260 | 0.000002328s | 24 B
                 261 | 0.000002295s | 24 B
                 262 | 0.000002539s | 24 B
                 263 | 0.000002309s | 24 B
                 264 | 0.000002249s | 24 B
                 265 | 0.000002262s | 24 B
                 266 | 0.000002253s | 24 B
                 267 | 0.000002806s | 24 B
                 268 | 0.000002365s | 24 B
                 269 | 0.000002398s | 24 B
                 270 | 0.000002314s | 24 B
                 271 | 0.000002281s | 24 B
                 272 | 0.000002481s | 24 B
                 273 | 0.000002238s | 24 B
                 274 | 0.000002329s | 24 B
                 275 | 0.000002341s | 24 B
                 276 | 0.000002313s | 24 B
                 277 | 0.000002644s | 24 B
                 278 | 0.000005765s | 24 B
                 279 | 0.000003122s | 32 B
                 280 | 0.000004632s | 32 B
                 281 | 0.000002888s | 32 B
                 282 | 0.000002265s | 32 B
                 283 | 0.000002711s | 32 B
                 284 | 0.000002664s | 32 B
                 285 | 0.000002805s | 32 B
                 286 | 0.000005849s | 32 B
                 287 | 0.000002839s | 32 B
                 288 | 0.000004011s | 32 B
                 289 | 0.000002168s | 32 B
                 290 | 0.000002693s | 32 B
                 291 | 0.000004199s | 32 B
                 292 | 0.000002431s | 32 B
                 293 | 0.000002327s | 32 B
                 294 | 0.000005743s | 32 B
                 295 | 0.000004978s | 32 B
                 296 | 0.000005114s | 32 B
                 297 | 0.000005792s | 32 B
                 298 | 0.000005397s | 32 B
                 299 | 0.000004948s | 32 B
                 300 | 0.000004834s | 32 B
                 301 | 0.000004326s | 32 B
                 302 | 0.000004337s | 32 B
                 303 | 0.000003403s | 32 B
                 304 | 0.000002603s | 32 B
                 305 | 0.000002689s | 32 B
                 306 | 0.000003484s | 32 B
                 307 | 0.000002735s | 32 B
                 308 | 0.000002912s | 32 B
