#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                   0 | 0.000074290s | 0 B
                   1 | 0.000002392s | 8 B
                   2 | 0.000022256s | 8 B
                   3 | 0.000004080s | 8 B
                   4 | 0.000003246s | 8 B
                   5 | 0.000003906s | 8 B
                   6 | 0.000004137s | 8 B
                   7 | 0.000003438s | 8 B
                   8 | 0.000003214s | 8 B
                   9 | 0.000003521s | 8 B
                  10 | 0.000003352s | 8 B
                  11 | 0.000004034s | 8 B
                  12 | 0.000003574s | 8 B
                  13 | 0.000003396s | 8 B
                  14 | 0.000004612s | 8 B
                  15 | 0.000004268s | 8 B
                  16 | 0.000003657s | 8 B
                  17 | 0.000003313s | 8 B
                  18 | 0.000003353s | 8 B
                  19 | 0.000003540s | 8 B
                  20 | 0.000003514s | 8 B
                  21 | 0.000003761s | 8 B
                  22 | 0.000003981s | 8 B
                  23 | 0.000003416s | 8 B
                  24 | 0.000003149s | 8 B
                  25 | 0.000003264s | 8 B
                  26 | 0.000003289s | 8 B
                  27 | 0.000003296s | 8 B
                  28 | 0.000004894s | 8 B
                  29 | 0.000003355s | 8 B
                  30 | 0.000003382s | 8 B
                  31 | 0.000003587s | 8 B
                  32 | 0.000003503s | 8 B
                  33 | 0.000003579s | 8 B
                  34 | 0.000003441s | 8 B
                  35 | 0.000004083s | 8 B
                  36 | 0.000004202s | 8 B
                  37 | 0.000003902s | 8 B
                  38 | 0.000004184s | 8 B
                  39 | 0.000004341s | 8 B
                  40 | 0.000003730s | 8 B
                  41 | 0.000003582s | 8 B
                  42 | 0.000003580s | 8 B
                  43 | 0.000003448s | 8 B
                  44 | 0.000003681s | 8 B
                  45 | 0.000003578s | 8 B
                  46 | 0.000003712s | 8 B
                  47 | 0.000003784s | 8 B
                  48 | 0.000003718s | 8 B
                  49 | 0.000003688s | 8 B
                  50 | 0.000003808s | 8 B
                  51 | 0.000003649s | 8 B
                  52 | 0.000004161s | 8 B
                  53 | 0.000003943s | 8 B
                  54 | 0.000005717s | 8 B
                  55 | 0.000004735s | 8 B
                  56 | 0.000003890s | 8 B
                  57 | 0.000003175s | 8 B
                  58 | 0.000003124s | 8 B
                  59 | 0.000003143s | 8 B
                  60 | 0.000004420s | 8 B
                  61 | 0.000004685s | 8 B
                  62 | 0.000004318s | 8 B
                  63 | 0.000006574s | 8 B
                  64 | 0.000005219s | 8 B
                  65 | 0.000004998s | 8 B
                  66 | 0.000005580s | 8 B
                  67 | 0.000004213s | 8 B
                  68 | 0.000006848s | 8 B
                  69 | 0.000005466s | 8 B
                  70 | 0.000005577s | 8 B
                  71 | 0.000005030s | 8 B
                  72 | 0.000005023s | 8 B
                  73 | 0.000004558s | 8 B
                  74 | 0.000004294s | 8 B
                  75 | 0.000005020s | 8 B
                  76 | 0.000005903s | 8 B
                  77 | 0.000005801s | 8 B
                  78 | 0.000005775s | 8 B
                  79 | 0.000004734s | 8 B
                  80 | 0.000004849s | 8 B
                  81 | 0.000006230s | 8 B
                  82 | 0.000005345s | 8 B
                  83 | 0.000005014s | 8 B
                  84 | 0.000005851s | 8 B
                  85 | 0.000004970s | 8 B
                  86 | 0.000004720s | 8 B
                  87 | 0.000004781s | 8 B
                  88 | 0.000004881s | 8 B
                  89 | 0.000004758s | 8 B
                  90 | 0.000005177s | 8 B
                  91 | 0.000005099s | 8 B
                  92 | 0.000004699s | 8 B
                  93 | 0.000006049s | 8 B
                  94 | 0.000011169s | 16 B
                  95 | 0.000005269s | 16 B
                  96 | 0.000007227s | 16 B
                  97 | 0.000007409s | 16 B
                  98 | 0.000005223s | 16 B
                  99 | 0.000005276s | 16 B
                 100 | 0.000005286s | 16 B
                 101 | 0.000007560s | 16 B
                 102 | 0.000006934s | 16 B
                 103 | 0.000005287s | 16 B
                 104 | 0.000005624s | 16 B
                 105 | 0.000005498s | 16 B
                 106 | 0.000005396s | 16 B
                 107 | 0.000005642s | 16 B
                 108 | 0.000005471s | 16 B
                 109 | 0.000005687s | 16 B
                 110 | 0.000005406s | 16 B
                 111 | 0.000005452s | 16 B
                 112 | 0.000005409s | 16 B
                 113 | 0.000005565s | 16 B
                 114 | 0.000006925s | 16 B
                 115 | 0.000005649s | 16 B
                 116 | 0.000005778s | 16 B
                 117 | 0.000005599s | 16 B
                 118 | 0.000005566s | 16 B
                 119 | 0.000005636s | 16 B
                 120 | 0.000005789s | 16 B
                 121 | 0.000005843s | 16 B
                 122 | 0.000005668s | 16 B
                 123 | 0.000005677s | 16 B
                 124 | 0.000005811s | 16 B
                 125 | 0.000005885s | 16 B
                 126 | 0.000008131s | 16 B
                 127 | 0.000005962s | 16 B
                 128 | 0.000005816s | 16 B
                 129 | 0.000005921s | 16 B
                 130 | 0.000005913s | 16 B
                 131 | 0.000005855s | 16 B
                 132 | 0.000005882s | 16 B
                 133 | 0.000005915s | 16 B
                 134 | 0.000006199s | 16 B
                 135 | 0.000006022s | 16 B
                 136 | 0.000006025s | 16 B
                 137 | 0.000006022s | 16 B
                 138 | 0.000006115s | 16 B
                 139 | 0.000005985s | 16 B
                 140 | 0.000006116s | 16 B
                 141 | 0.000006312s | 16 B
                 142 | 0.000006231s | 16 B
                 143 | 0.000006128s | 16 B
                 144 | 0.000006337s | 16 B
                 145 | 0.000006265s | 16 B
                 146 | 0.000006168s | 16 B
                 147 | 0.000008128s | 16 B
                 148 | 0.000009692s | 16 B
                 149 | 0.000009926s | 16 B
                 150 | 0.000015979s | 16 B
                 151 | 0.000008927s | 16 B
                 152 | 0.000008084s | 16 B
                 153 | 0.000008015s | 16 B
                 154 | 0.000008247s | 16 B
                 155 | 0.000007972s | 16 B
                 156 | 0.000011228s | 16 B
                 157 | 0.000011795s | 16 B
                 158 | 0.000008191s | 16 B
                 159 | 0.000009652s | 16 B
                 160 | 0.000009255s | 16 B
                 161 | 0.000010262s | 16 B
                 162 | 0.000009747s | 16 B
