#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                   0 | 0.000049480s | 0 B
                   1 | 0.000011591s | 8 B
                   2 | 0.000012086s | 8 B
                   3 | 0.000006015s | 8 B
                   4 | 0.000005746s | 8 B
                   5 | 0.000005753s | 8 B
                   6 | 0.000006338s | 8 B
                   7 | 0.000008901s | 8 B
                   8 | 0.000006868s | 8 B
                   9 | 0.000008260s | 8 B
                  10 | 0.000008299s | 8 B
                  11 | 0.000009202s | 8 B
                  12 | 0.000009633s | 8 B
                  13 | 0.000009610s | 8 B
                  14 | 0.000010926s | 8 B
                  15 | 0.000013978s | 8 B
                  16 | 0.000011865s | 8 B
                  17 | 0.000011644s | 8 B
                  18 | 0.000011205s | 8 B
                  19 | 0.000029526s | 8 B
                  20 | 0.000027592s | 8 B
                  21 | 0.000018439s | 8 B
                  22 | 0.000012187s | 8 B
                  23 | 0.000011811s | 8 B
                  24 | 0.000012739s | 8 B
                  25 | 0.000014492s | 8 B
                  26 | 0.000014773s | 8 B
                  27 | 0.000015529s | 8 B
                  28 | 0.000015829s | 8 B
                  29 | 0.000013690s | 8 B
                  30 | 0.000013198s | 8 B
                  31 | 0.000014101s | 8 B
                  32 | 0.000014593s | 8 B
                  33 | 0.000015133s | 8 B
                  34 | 0.000046079s | 8 B
                  35 | 0.000025713s | 8 B
                  36 | 0.000020165s | 8 B
                  37 | 0.000019079s | 8 B
                  38 | 0.000022444s | 8 B
                  39 | 0.000021250s | 8 B
                  40 | 0.000021761s | 8 B
                  41 | 0.000030324s | 8 B
                  42 | 0.000029017s | 8 B
                  43 | 0.000021685s | 8 B
                  44 | 0.000022662s | 8 B
                  45 | 0.000030475s | 8 B
                  46 | 0.000022909s | 8 B
                  47 | 0.000031429s | 8 B
                  48 | 0.000031009s | 8 B
                  49 | 0.000022617s | 8 B
                  50 | 0.000024112s | 8 B
                  51 | 0.000023220s | 8 B
                  52 | 0.000041813s | 8 B
                  53 | 0.000026593s | 8 B
                  54 | 0.000031311s | 8 B
                  55 | 0.000026703s | 8 B
                  56 | 0.000026674s | 8 B
                  57 | 0.000028124s | 8 B
                  58 | 0.000029233s | 8 B
                  59 | 0.000024034s | 8 B
                  60 | 0.000031220s | 8 B
                  61 | 0.000030826s | 8 B
                  62 | 0.000030928s | 8 B
                  63 | 0.000031661s | 8 B
                  64 | 0.000032589s | 8 B
                  65 | 0.000033301s | 8 B
                  66 | 0.000026889s | 8 B
                  67 | 0.000042166s | 8 B
                  68 | 0.000034799s | 8 B
                  69 | 0.000035842s | 8 B
                  70 | 0.000035604s | 8 B
                  71 | 0.000036325s | 8 B
                  72 | 0.000036742s | 8 B
                  73 | 0.000036954s | 8 B
                  74 | 0.000037515s | 8 B
                  75 | 0.000037150s | 8 B
                  76 | 0.000037357s | 8 B
                  77 | 0.000051465s | 8 B
                  78 | 0.000036096s | 8 B
                  79 | 0.000037113s | 8 B
                  80 | 0.000038844s | 8 B
                  81 | 0.000039674s | 8 B
                  82 | 0.000040646s | 8 B
                  83 | 0.000041408s | 8 B
                  84 | 0.000041707s | 8 B
                  85 | 0.000041706s | 8 B
                  86 | 0.000042699s | 8 B
                  87 | 0.000042024s | 8 B
                  88 | 0.000048414s | 8 B
                  89 | 0.000038979s | 8 B
                  90 | 0.000052830s | 8 B
                  91 | 0.000046402s | 8 B
                  92 | 0.000046093s | 8 B
                  93 | 0.000046495s | 8 B
                  94 | 0.000046649s | 16 B
                  95 | 0.000047757s | 16 B
                  96 | 0.000050309s | 16 B
                  97 | 0.000056081s | 16 B
                  98 | 0.000049225s | 16 B
                  99 | 0.000049133s | 16 B
                 100 | 0.000049404s | 16 B
                 101 | 0.000049620s | 16 B
                 102 | 0.000048055s | 16 B
                 103 | 0.000049526s | 16 B
                 104 | 0.000054233s | 16 B
                 105 | 0.000051745s | 16 B
                 106 | 0.000051989s | 16 B
                 107 | 0.000052067s | 16 B
                 108 | 0.000052836s | 16 B
                 109 | 0.000052942s | 16 B
                 110 | 0.000054331s | 16 B
                 111 | 0.000046778s | 16 B
                 112 | 0.000050282s | 16 B
                 113 | 0.000033125s | 16 B
                 114 | 0.000034138s | 16 B
                 115 | 0.000033614s | 16 B
                 116 | 0.000032914s | 16 B
                 117 | 0.000058383s | 16 B
                 118 | 0.000063707s | 16 B
                 119 | 0.000076875s | 16 B
                 120 | 0.000064234s | 16 B
                 121 | 0.000061060s | 16 B
                 122 | 0.000065269s | 16 B
                 123 | 0.000061545s | 16 B
                 124 | 0.000075103s | 16 B
                 125 | 0.000070947s | 16 B
                 126 | 0.000071126s | 16 B
                 127 | 0.000070784s | 16 B
                 128 | 0.000071935s | 16 B
                 129 | 0.000072565s | 16 B
                 130 | 0.000074864s | 16 B
                 131 | 0.000076726s | 16 B
                 132 | 0.000052147s | 16 B
                 133 | 0.000071167s | 16 B
                 134 | 0.000065774s | 16 B
                 135 | 0.000066284s | 16 B
                 136 | 0.000071280s | 16 B
                 137 | 0.000071417s | 16 B
                 138 | 0.000071361s | 16 B
                 139 | 0.000072644s | 16 B
                 140 | 0.000072817s | 16 B
                 141 | 0.000081218s | 16 B
                 142 | 0.000073645s | 16 B
                 143 | 0.000073853s | 16 B
                 144 | 0.000074562s | 16 B
                 145 | 0.000075976s | 16 B
                 146 | 0.000076301s | 16 B
                 147 | 0.000076643s | 16 B
                 148 | 0.000088426s | 16 B
                 149 | 0.000078285s | 16 B
                 150 | 0.000077099s | 16 B
                 151 | 0.000043938s | 16 B
                 152 | 0.000080187s | 16 B
                 153 | 0.000080945s | 16 B
                 154 | 0.000078494s | 16 B
                 155 | 0.000093584s | 16 B
                 156 | 0.000080597s | 16 B
                 157 | 0.000081032s | 16 B
                 158 | 0.000082421s | 16 B
                 159 | 0.000082467s | 16 B
                 160 | 0.000080104s | 16 B
                 161 | 0.000082589s | 16 B
                 162 | 0.000085561s | 16 B
                 163 | 0.000089637s | 16 B
                 164 | 0.000078893s | 16 B
                 165 | 0.000082988s | 16 B
                 166 | 0.000083161s | 16 B
                 167 | 0.000083684s | 16 B
                 168 | 0.000099913s | 16 B
                 169 | 0.000075065s | 16 B
                 170 | 0.000085180s | 16 B
                 171 | 0.000087700s | 16 B
                 172 | 0.000076090s | 16 B
                 173 | 0.000088224s | 16 B
                 174 | 0.000098274s | 16 B
                 175 | 0.000100998s | 16 B
                 176 | 0.000098977s | 16 B
                 177 | 0.000080597s | 16 B
                 178 | 0.000087444s | 16 B
                 179 | 0.000089213s | 16 B
                 180 | 0.000091643s | 16 B
                 181 | 0.000086985s | 16 B
                 182 | 0.000106227s | 16 B
                 183 | 0.000088285s | 16 B
                 184 | 0.000089993s | 16 B
                 185 | 0.000089201s | 16 B
