#   Fibonacci index  |   Time (s)   | Size (bytes) 
# -------------------+--------------+--------------
                   0 | 0.000066005s | 0 B
                   1 | 0.000002924s | 8 B
                   2 | 0.000013204s | 8 B
                   3 | 0.000013183s | 8 B
                   4 | 0.000004664s | 8 B
                   5 | 0.000004827s | 8 B
                   6 | 0.000005001s | 8 B
                   7 | 0.000007369s | 8 B
                   8 | 0.000007917s | 8 B
                   9 | 0.000010526s | 8 B
                  10 | 0.000015213s | 8 B
                  11 | 0.000024751s | 8 B
                  12 | 0.000035163s | 8 B
                  13 | 0.000038457s | 8 B
                  14 | 0.000063692s | 8 B
                  15 | 0.000088791s | 8 B
                  16 | 0.000146184s | 8 B
                  17 | 0.000217762s | 8 B
                  18 | 0.000428580s | 8 B
                  19 | 0.000581397s | 8 B
                  20 | 0.000900014s | 8 B
                  21 | 0.001585090s | 8 B
                  22 | 0.002573777s | 8 B
                  23 | 0.003852419s | 8 B
                  24 | 0.005262870s | 8 B
                  25 | 0.008563581s | 8 B
                  26 | 0.016541894s | 8 B
                  27 | 0.022143130s | 8 B
                  28 | 0.035698820s | 8 B
                  29 | 0.059267620s | 8 B
                  30 | 0.092801779s | 8 B
                  31 | 0.158945885s | 8 B
                  32 | 0.244851692s | 8 B
                  33 | 0.413139858s | 8 B
                  34 | 0.685917221s | 8 B
                  35 | 1.111648501s | 8 B
